init_eps,min_eps,decay,alpha,gamma,rolling_mean,total_mean,total_std,percent_above_1.5,last_10_mean,last_10_std,rounds_to_stabilize
0.5,0.01,0.5,0.01,0.99,[0.99 0.99 0.99 ... 1.   1.   1.  ],1.0099,0.24617471437984853,0.0036,0.993,0.08337265738837882,
0.5,0.01,0.5,0.001,0.0,[1.06 1.07 1.07 ... 0.99 0.99 0.99],1.0134,0.26911046059192867,0.0043,1.003,0.19233044480788788,
0.5,0.01,0.5,0.001,0.9,[1.07 1.07 1.07 ... 1.   1.   1.  ],1.0131,0.2696820164564186,0.0043,1.001,0.1378368600919217,
0.5,0.01,0.5,0.001,0.99,[1. 1. 1. ... 1. 1. 1.],1.0119,0.25682365545253033,0.0039,1.008,0.22789471253190585,
0.2,0.1,0.995,0.1,0.0,[1.27 1.28 1.33 ... 1.13 1.13 1.13],1.1335,0.8688370100312256,0.0472,1.141,0.9116572820967319,
0.2,0.1,0.995,0.1,0.9,[1.19 1.19 1.23 ... 1.24 1.23 1.23],1.1457,0.8907701779920565,0.0497,1.151,0.8934198341205551,
0.2,0.1,0.995,0.1,0.99,[1.23 1.23 1.19 ... 0.93 0.93 0.93],1.1605,0.9214877915631873,0.0538,1.23,1.0672862783714594,
0.2,0.1,0.995,0.01,0.0,[1.14 1.14 1.15 ... 1.   1.   1.  ],1.1403,0.8871391717199731,0.0491,1.152,0.9148202009138189,
0.2,0.1,0.995,0.01,0.9,[1.44 1.44 1.4  ... 1.16 1.16 1.16],1.1345,0.8570937813331748,0.0459,1.091,0.7865869309872876,
0.2,0.1,0.995,0.01,0.99,[1.08 1.08 1.08 ... 1.31 1.27 1.27],1.1531,0.9009219666541604,0.0506,1.183,0.9568233901823261,
0.2,0.1,0.995,0.001,0.0,[1.28 1.32 1.32 ... 1.06 1.06 1.1 ],1.1459,0.890400578391546,0.0494,1.147,0.9007724462926251,
0.2,0.1,0.995,0.001,0.9,[1.43 1.47 1.47 ... 1.04 1.04 1.04],1.1537,0.902372600426232,0.0514,1.157,0.9079377731981415,
0.2,0.1,0.995,0.001,0.99,[1.23 1.23 1.23 ... 1.12 1.12 1.12],1.1443,0.8881877673104939,0.0498,1.11,0.8184741901856161,
0.2,0.1,0.9,0.1,0.0,[1.06 1.06 1.06 ... 0.99 0.99 0.99],1.1359,0.8730585261023456,0.0473,1.175,0.9697293436830713,
0.2,0.1,0.9,0.1,0.9,[1.23 1.19 1.19 ... 1.01 1.01 1.01],1.1279,0.8480221636254562,0.0438,1.13,0.8826664149042943,
0.2,0.1,0.9,0.1,0.99,[1.3  1.3  1.3  ... 1.31 1.31 1.31],1.1588,0.9100453615067766,0.0532,1.306,1.1412116368141363,
0.2,0.1,0.9,0.01,0.0,[1.04 1.08 1.08 ... 1.12 1.12 1.12],1.1407,0.8728708438251331,0.0478,1.191,0.9687719029781985,
